name
Valeri Nichushkin
Alex Iafallo
Ilya Lyubushkin
Maxwell Crozier
Ivan Barbashev
Jakob Pelletier
Owen Tippett
Alex Ovechkin
Aaron Ekblad
Andre Burakovsky
Linus Karlsson
Connor Mackey
Erik Karlsson
Quinton Byfield
Nick Paul
Patrick Kane
Sam Carrick
Brendan Gallagher
Emil Heineman
Ryan O'Reilly
Taylor Raddysh
Sam Malinski
Pius Suter
Nicholas Robertson
Kevin Labanc
Lars Eller
Sam Poulin
Jack McBain
A.J. Greer
Jere Innala
Morgan Frost
Drew Helleson
Kevin Bahl
Isaak Phillips
James Malatesta
Quinn Hughes
Morgan Barron
Bo Horvat
Alexander Wennberg
Dominic Toninato
Jack Drury
Owen Beck
Zemgus Girgensons
Dominik Shine
David Gustafsson
Justin Faulk
Tomas Tatar
Tim Sttzle
Dryden Hunt
Mike Hardman
Sonny Milano
Cam Fowler
Jaccob Slavin
Reese Johnson
Logan Mailloux
Auston Matthews
Dylan DeMelo
Nico Sturm
Mathew Barzal
Adam Lowry
Jake Evans
Cole Caufield
Parker Wotherspoon
Anton Lundell
Ville Heinola
Mathieu Olivier
Cutter Gauthier
Matj  Blmel
Alexander Holtz
Mark Stone
Mattias Janmark
Jamie Drysdale
Conor Sheary
Declan Chisholm
Jansen Harkins
Jordan Eberle
Jackson Blake
Miro Heiskanen
Morgan Geekie
Drake Batherson
Yanni Gourde
Juraj Slafkovsky
Declan Carlile
Kevin Hayes
Andrew Peeke
Eetu Luostarinen
Kirby Dach
Sean Durzi
Carson Soucy
Yegor Chinakhov
Brett Kulak
John Hayden
Jake Guentzel
Jason Dickinson
Brandon Hagel
Egor Zamula
Noah Hanifin
Tommy Novak
Albert Johansson
Chris Tanev
Raphael Lavoie
Jani Hakanp
Victor Olofsson
Hudson Fasching
Mark Kastelic
Derek Forbort
Max Jones
Ben Meyers
Matthew Knies
Marcus Foligno
Nathan Clurman
Alexander Alexeyev
Brandon Montour
Patrick Maroon
Chandler Stephenson
Sean Monahan
Barrett Hayton
Jake DeBrusk
Jason Zucker
Hampus Lindholm
Niko Mikkola
Eeli Tolvanen
Alex Vlasic
Rafael Harvey-Pinard
Nic Dowd
Anthony Cirelli
Blake Lizotte
Jonah Gadjovich
Lukas Reichel
Zack MacEwen
Tyler Seguin
Marc Gatcomb
Jake Bean
Arttu Hyry
Jake Christiansen
David Savard
Mavrik Bourque
Adam Henrique
Brenden Dillon
Jayden Struble
Kyle Burroughs
Vasily Podkolzin
Marco Rossi
Devon Toews
Jordan Oesterle
Pontus Holmberg
Martin Necas
Dakota Joshua
Dylan Strome
Moritz Seider
Vladimir Tarasenko
Adam Gaudette
Matthew Kessel
Frederick Gaudreau
Rutger McGroarty
Ethen Frank
Jonathan Lekkerimaki
Will Borgen
Jesse Puljujarvi
Brady Tkachuk
Martin Pospisil
Robert Bortuzzo
Michael Milne
Jeff Skinner
Josh Norris
Dennis Cholowski
Christian Dvorak
Ryan Strome
Jakub Vrana
Brady Skjei
Philip Broberg
Brandon Duhaime
Philippe Myers
William Nylander
Arthur Kaliyev
Cole Reinhardt
Robby Fabbri
Dylan Samberg
Vincent Desharnais
Austin Watson
Filip Forsberg
Alex Turcotte
Jan Rutta
Keegan Kolesar
Nikita Nesterenko
Carl Grundstrom
Simon Holmstrom
Zach Bogosian
Alex Pietrangelo
Tyler Tucker
Shane Bowers
Ben Hutton
Brad Marchand
Rasmus Sandin
Nils Aman
Kirill Marchenko
Alexis Lafrenire
Pierre-Luc Dubois
Jeremy Lauzon
Darren Raddysh
Logan Cooley
Erik Cernak
Rasmus Dahlin
Matthew Highmore
Erik Brannstrom
Ty Emberson
Nikita Grebenkin
Brian Dumoulin
Brett Leason
Blake Coleman
Garnet Hathaway
Artturi Lehkonen
Haydn Fleury
Olen Zellweger
Sam Colangelo
Brayden McNabb
Zachary L'Heureux
Alexey Toropchenko
Jalen Chatfield
Matvei Michkov
Ross Colton
Cole Schwindt
Dylan Larkin
Ondrej Palat
Jake Neighbours
Owen Sillinger
Alexandre Texier
Ryker Evans
Maxim Tsyplakov
Ryan Nugent-Hopkins
Adam Larsson
Frank Nazar
Justin Danforth
Robert Hagg
Will Smith
Nick Blankenburg
Chase Bradley
Jordan Martinook
Simon Benoit
Drew O'Connor
Trevor Moore
Mattias Samuelsson
Nikolas Matinpalo
Mason Marchment
Mathieu Joseph
Ilya Solovyov
John Ludvig
J.T. Miller
Mason Appleton
Mikael Pyyhtia
Nolan Allan
Nikita Kucherov
Shayne Gostisbehere
Jimmy Vesey
Ethan Del Mastro
Samuel Bolduc
Jacob Gaucher
Dylan Duke
Henri Jokiharju
Marco Kasper
Jack St. Ivany
Curtis Lazar
Aliaksei Protas
Nikolaj Ehlers
Adam Klapka
Liam O'Brien
Rickard Rakell
Kevin Gravel
Kyle Palmieri
Pavel Buchnevich
Nathan MacKinnon
Nick Suzuki
Adam Pelech
Mathew Dumba
Parker Ford
William Carrier
Jason Robertson
Dennis Gilbert
Ty Smith
Owen Pickering
Lane Hutson
Jared McCann
Andrei Kuzmenko
Troy Terry
Anthony Beauvillier
Jett Luchanko
Erik Johnson
Elmer Soderblom
Carter Verhaeghe
Joey Anderson
Alex Steeves
Ryan Donato
Ian Cole
Luke Evangelista
James van Riemsdyk
Jonas Rondbjerg
Corey Schueneman
Michael Amadio
Evgeni Malkin
Connor Zary
Mikko Rantanen
Noah Philp
Jonathan Marchessault
Ilya Mikheyev
Barclay Goodrow
Luke Hughes
Nick Seeler
Brock McGinn
Gustav Nyquist
Ryan Hartman
Fedor Svechkov
Vasily Ponomarev
Samuel Helenius
Jack Hughes
K'Andre Miller
Donovan Sebrango
Zach Hyman
Peyton Krebs
Scott Perunovich
Adam Edstrom
Justin Holl
Nicolas Deslauriers
Kevin Fiala
Corey Perry
Noah Juulsen
Scott Morrow
Mike Reilly
Jan Jenik
Joel Hanley
Max Domi
Emil Andrae
Claude Giroux
Nathan Bastian
Will Cuylle
Aleksander Barkov
Erik Haula
Dakota Mermis
Colin Miller
Adam Fox
Henry Thrun
Ryan Johnson
Aatu Raty
Jake Sanderson
Logan Stanley
Nikita Zadorov
Justin Dowling
Shane Wright
Trent Frederic
Phillip Danault
Luca Del Bel Belluz
