Player,Season,League,GP,G,A,PTS,PIM,+/-
A.J. Greer,,AHL,152.0,42.0,53.0,95.0,175.0,-17.0
A.J. Greer,,H-East,55.0,4.0,8.0,12.0,28.0,-1.0
A.J. Greer,,QMJHL,33.0,16.0,11.0,27.0,57.0,8.0
A.J. Greer,,USHL,2.0,2.0,1.0,3.0,2.0,3.0
A.J. Greer,2016-17,NHL,5.0,0.0,1.0,1.0,4.0,-2.0
A.J. Greer,2017-18,NHL,17.0,0.0,3.0,3.0,29.0,2.0
A.J. Greer,2018-19,NHL,15.0,1.0,1.0,2.0,14.0,-2.0
Aaron Ekblad,,OHL,175.0,40.0,76.0,116.0,189.0,31.0
Aaron Ekblad,2014-15,NHL,81.0,12.0,27.0,39.0,32.0,12.0
Aaron Ekblad,2015-16,NHL,78.0,15.0,21.0,36.0,41.0,18.0
Aaron Ekblad,2016-17,NHL,68.0,10.0,11.0,21.0,58.0,-23.0
Aatu Raty,,AHL,155.0,39.0,69.0,108.0,60.0,11.0
Aatu Raty,,SM-liiga,94.0,18.0,33.0,51.0,54.0,25.0
Aatu Raty,2022-23,NHL,12.0,2.0,0.0,2.0,4.0,1.0
Aatu Raty,2022-23,NHL,3.0,0.0,1.0,1.0,0.0,-1.0
Aatu Raty,2024-25,NHL,21.0,2.0,2.0,4.0,8.0,-2.0
Adam Boqvist,,AHL,15.0,1.0,5.0,6.0,10.0,2.0
Adam Boqvist,,OHL,54.0,20.0,40.0,60.0,12.0,12.0
Adam Boqvist,,Swe-1,7.0,0.0,2.0,2.0,2.0,1.0
Adam Boqvist,,Swe-Jr,43.0,18.0,22.0,40.0,28.0,7.0
Adam Boqvist,,SweHL,15.0,0.0,1.0,1.0,4.0,-7.0
Adam Boqvist,2019-20,NHL,41.0,4.0,9.0,13.0,6.0,-3.0
Adam Boqvist,2020-21,NHL,35.0,2.0,14.0,16.0,14.0,-7.0
Adam Boqvist,2021-22,NHL,52.0,11.0,11.0,22.0,12.0,-11.0
Adam Fox,,ECAC,97.0,21.0,95.0,116.0,32.0,45.0
Adam Fox,,USHL,59.0,8.0,31.0,39.0,28.0,0.0
Adam Fox,2019-20,NHL,70.0,8.0,34.0,42.0,32.0,22.0
Adam Fox,2020-21,NHL,55.0,5.0,42.0,47.0,14.0,19.0
Adam Fox,2021-22,NHL,78.0,11.0,63.0,74.0,26.0,18.0
Adam Gaudette,,AHL,16.0,6.0,6.0,12.0,12.0,0.0
Adam Gaudette,,H-East,116.0,68.0,74.0,142.0,81.0,16.0
Adam Gaudette,,USHL,50.0,13.0,17.0,30.0,55.0,23.0
Adam Gaudette,2017-18,NHL,5.0,0.0,0.0,0.0,0.0,2.0
Adam Gaudette,2018-19,NHL,56.0,5.0,7.0,12.0,18.0,-8.0
Adam Gaudette,2019-20,NHL,59.0,12.0,21.0,33.0,37.0,-7.0
Adam Ginning,,AHL,175.0,7.0,35.0,42.0,186.0,13.0
Adam Ginning,,Swe-1,17.0,0.0,4.0,4.0,44.0,-1.0
Adam Ginning,,Swe-Jr,52.0,4.0,16.0,20.0,42.0,16.0
Adam Ginning,,SweHL,216.0,8.0,21.0,29.0,195.0,-15.0
Adam Ginning,2022-23,NHL,1.0,0.0,0.0,0.0,2.0,0.0
Adam Ginning,2023-24,NHL,9.0,1.0,0.0,1.0,0.0,0.0
Adam Ginning,2024-25,NHL,1.0,0.0,0.0,0.0,0.0,-1.0
Adam Henrique,,AHL,92.0,30.0,29.0,59.0,40.0,-2.0
Adam Henrique,,OHL,238.0,111.0,117.0,228.0,152.0,77.0
Adam Henrique,2010-11,NHL,1.0,0.0,0.0,0.0,0.0,1.0
Adam Henrique,2011-12,NHL,74.0,16.0,35.0,51.0,7.0,8.0
Adam Henrique,2012-13,NHL,42.0,11.0,5.0,16.0,16.0,-3.0
Adam Lowry,,AHL,77.0,17.0,21.0,38.0,55.0,-4.0
Adam Lowry,,WHL,235.0,90.0,114.0,204.0,333.0,10.0
Adam Lowry,2014-15,NHL,80.0,11.0,12.0,23.0,46.0,1.0
Adam Lowry,2015-16,NHL,74.0,7.0,10.0,17.0,53.0,-9.0
Adam Lowry,2016-17,NHL,82.0,15.0,14.0,29.0,52.0,1.0
Adam Pelech,,AHL,105.0,3.0,20.0,23.0,64.0,1.0
Adam Pelech,,OHL,228.0,20.0,107.0,127.0,223.0,30.0
